Time,RR interval,HRV,Heart Rate
87.177,0.746,746.0,80.4289544235925
87.945,0.768,768.0,78.125
88.747,0.802,802.0,74.81296758104737
89.566,0.819,819.0,73.26007326007327
90.358,0.792,792.0,75.75757575757575
91.152,0.794,794.0,75.56675062972292
91.925,0.773,773.0,77.61966364812419
92.669,0.744,744.0,80.64516129032258
93.379,0.71,710.0,84.50704225352113
94.089,0.71,710.0,84.50704225352113
94.827,0.738,738.0,81.30081300813008
95.577,0.75,750.0,80.0
96.349,0.772,772.0,77.720207253886
97.114,0.765,765.0,78.43137254901961
97.891,0.777,777.0,77.22007722007721
98.679,0.788,788.0,76.14213197969544
99.488,0.809,809.0,74.1656365883807
100.294,0.806,806.0,74.44168734491315
101.073,0.779,779.0,77.02182284980745
101.826,0.753,753.0,79.6812749003984
102.539,0.713,713.0,84.15147265077138
103.222,0.683,683.0,87.84773060029282
103.888,0.666,666.0,90.09009009009009
104.563,0.675,675.0,88.88888888888889
105.325,0.762,762.0,78.74015748031496
106.181,0.856,856.0,70.09345794392523
107.088,0.907,907.0,66.1521499448732
107.96,0.872,872.0,68.80733944954129
108.852,0.892,892.0,67.26457399103138
109.753,0.901,901.0,66.59267480577137
110.631,0.878,878.0,68.3371298405467
111.454,0.823,823.0,72.90400972053463
112.279,0.825,825.0,72.72727272727273
113.106,0.827,827.0,72.55139056831923
113.938,0.832,832.0,72.11538461538461
114.762,0.824,824.0,72.81553398058253
115.604,0.842,842.0,71.25890736342042
116.458,0.854,854.0,70.2576112412178
117.329,0.871,871.0,68.88633754305395
118.192,0.863,863.0,69.52491309385863
119.039,0.847,847.0,70.83825265643448
119.901,0.862,862.0,69.60556844547564
120.75,0.849,849.0,70.67137809187278
121.566,0.816,816.0,73.52941176470588
122.334,0.768,768.0,78.125
123.094,0.76,760.0,78.94736842105263
123.819,0.725,725.0,82.75862068965517
124.503,0.684,684.0,87.71929824561403
125.169,0.666,666.0,90.09009009009009
125.902,0.733,733.0,81.85538881309687
126.726,0.824,824.0,72.81553398058253
127.602,0.876,876.0,68.4931506849315
128.512,0.91,910.0,65.93406593406593
129.44,0.928,928.0,64.6551724137931
130.364,0.924,924.0,64.93506493506493
131.223,0.859,859.0,69.84866123399303
132.036,0.813,813.0,73.80073800738008
132.818,0.782,782.0,76.72634271099744
133.588,0.77,770.0,77.92207792207792
134.367,0.779,779.0,77.02182284980745
135.129,0.762,762.0,78.74015748031496
135.915,0.786,786.0,76.33587786259542
136.744,0.829,829.0,72.37635705669481
137.631,0.887,887.0,67.64374295377677
138.508,0.877,877.0,68.41505131128848
139.366,0.858,858.0,69.93006993006993
140.241,0.875,875.0,68.57142857142857
141.119,0.878,878.0,68.3371298405467
141.973,0.854,854.0,70.2576112412178
142.758,0.785,785.0,76.43312101910827
143.525,0.767,767.0,78.22685788787484
144.281,0.756,756.0,79.36507936507937
145.052,0.771,771.0,77.82101167315176
145.825,0.773,773.0,77.61966364812419
146.62,0.795,795.0,75.47169811320754
147.462,0.842,842.0,71.25890736342042
148.313,0.851,851.0,70.50528789659224
149.16,0.847,847.0,70.83825265643448
149.993,0.833,833.0,72.02881152460985
150.781,0.788,788.0,76.14213197969544
151.568,0.787,787.0,76.23888182973316
152.361,0.793,793.0,75.66204287515762
153.189,0.828,828.0,72.46376811594203
154.018,0.829,829.0,72.37635705669481
154.815,0.797,797.0,75.28230865746549
155.613,0.798,798.0,75.18796992481202
156.417,0.804,804.0,74.62686567164178
157.229,0.812,812.0,73.89162561576353
158.005,0.776,776.0,77.31958762886597
158.77,0.765,765.0,78.43137254901961
159.532,0.762,762.0,78.74015748031496
160.292,0.76,760.0,78.94736842105263
161.034,0.742,742.0,80.86253369272237
161.77,0.736,736.0,81.52173913043478
162.525,0.755,755.0,79.47019867549669
163.312,0.787,787.0,76.23888182973316
164.087,0.775,775.0,77.41935483870968
164.851,0.764,764.0,78.53403141361257
165.601,0.75,750.0,80.0
166.33,0.729,729.0,82.3045267489712
167.023,0.693,693.0,86.58008658008659
167.668,0.645,645.0,93.02325581395348
168.279,0.611,611.0,98.19967266775777
168.878,0.599,599.0,100.1669449081803
169.468,0.59,590.0,101.6949152542373
170.062,0.594,594.0,101.010101010101
170.702,0.64,640.0,93.75
171.445,0.743,743.0,80.75370121130551
172.237,0.792,792.0,75.75757575757575
173.053,0.816,816.0,73.52941176470588
173.905,0.852,852.0,70.42253521126761
174.773,0.868,868.0,69.12442396313365
175.608,0.835,835.0,71.8562874251497
176.456,0.848,848.0,70.75471698113208
177.305,0.849,849.0,70.67137809187278
178.13,0.825,825.0,72.72727272727273
178.89,0.76,760.0,78.94736842105263
179.625,0.735,735.0,81.63265306122449
180.322,0.697,697.0,86.08321377331421
181.006,0.684,684.0,87.71929824561403
181.682,0.676,676.0,88.75739644970415
182.382,0.7,700.0,85.71428571428572
183.133,0.751,751.0,79.89347536617844
183.952,0.819,819.0,73.26007326007327
184.795,0.843,843.0,71.17437722419929
185.647,0.852,852.0,70.42253521126761
186.454,0.807,807.0,74.34944237918215
187.217,0.763,763.0,78.63695937090432
187.97,0.753,753.0,79.6812749003984
188.715,0.745,745.0,80.53691275167786
189.473,0.758,758.0,79.15567282321899
190.245,0.772,772.0,77.720207253886
190.998,0.753,753.0,79.6812749003984
191.727,0.729,729.0,82.3045267489712
192.428,0.701,701.0,85.59201141226819
193.106,0.678,678.0,88.49557522123894
193.772,0.666,666.0,90.09009009009009
194.463,0.691,691.0,86.83068017366136
195.232,0.769,769.0,78.02340702210662
196.022,0.79,790.0,75.94936708860759
196.837,0.815,815.0,73.61963190184049
197.668,0.831,831.0,72.20216606498195
198.484,0.816,816.0,73.52941176470588
199.295,0.811,811.0,73.98273736128236
200.081,0.786,786.0,76.33587786259542
200.857,0.776,776.0,77.31958762886597
201.614,0.757,757.0,79.26023778071334
